"ShortName","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"Kuzma, Morris, Hachimura, Goodwin, Porzingis","WAS",3,6,1,14,17,7,9,0.7777777777777778,0,2,0,0,3,8,6,0,0,0.5714285714285714,0.5714285714285714,0,0.18181818181818182,0.501475,0.6363636363636364,0.6538461538461539,0,0,0,0,0
"Kuzma, Kispert, Goodwin, Gibson, Barton","WAS",4,6,-5,13,18,3,6,0.5,4,8,0.5,0.5,0,4,2,9,3,0.6666666666666666,0.6666666666666666,0.75,0.5714285714285714,0.5046178571428571,0.6428571428571429,0.6428571428571429,0,0,0,0,0
"Morris, Avdija, Kispert, Davis, Porzingis","WAS",1,6,4,12,18,3,5,0.6,4,7,0.5714285714285714,0.5714285714285714,0,0,6,9,3,0,0,0.75,0.5833333333333334,0.5446333333333333,0.75,0.75,0,1,0.2,0,0
"Wright, Nunn, Gafford, Avdija, Gill","WAS",1,6,2,12,20,4,5,0.8,3,4,0.75,0.75,3,4,4,6,3,0.5,0.5,0.6666666666666666,0.4444444444444444,0.47977777777777775,0.9444444444444444,0.9090909090909091,0,0,0,0,0
"Nunn, Gafford, Gill, Kispert, Goodwin","WAS",3,6,-2,13,13,5,6,0.8333333333333334,0,5,0,0,3,2,8,0,0,0.2,0.2,0,0.45454545454545453,0.5231818181818182,0.45454545454545453,0.5416666666666666,0,0,0,0,0
"Morris, Nunn, Gafford, Beal, Porzingis","WAS",1,6,-9,10,11,4,6,0.6666666666666666,0,2,0,0,3,4,4,0,0,0.5,0.5,0,0.25,0.464525,0.5,0.5555555555555556,0,0,0,0,0
"Gafford, Gill, Kispert, Goodwin, Barton","WAS",3,6,2,14,15,7,10,0.7,0,2,0,0,1,12,2,0,0,0.8571428571428571,1,0,0.16666666666666666,0.42005909090909094,0.5833333333333334,0.5769230769230769,2,1,0.1,0,0
"Nunn, Huff, Goodwin, Jackson, Cooks","WAS",2,6,3,13,16,3,5,0.6,2,5,0.4,0.4,4,2,4,6,0,0.3333333333333333,0.5,1,0.5,0.510305,0.6,0.6666666666666666,2,1,0.2,0,0
"Kuzma, Gafford, Gill, Kispert, Goodwin","WAS",3,6,3,11,13,4,5,0.8,1,4,0.25,0.25,2,4,4,3,0,0.5,0.6666666666666666,1,0.4444444444444444,0.4981,0.6111111111111112,0.5909090909090909,2,0,0,0,0
"Gill, Kispert, Goodwin, Beal, Porzingis","WAS",4,6,1,15,17,3,7,0.42857142857142855,2,5,0.4,0.4,5,2,4,6,0,0.3333333333333333,0.5,1,0.4166666666666667,0.4295625,0.5,0.5666666666666667,2,1,0.14285714285714285,1,0.2
"Wright, Nunn, Avdija, Kispert, Porzingis","WAS",3,6,0,9,13,3,3,1,1,3,0.3333333333333333,0.3333333333333333,4,6,0,3,0,1,1,1,0.5,0.5313416666666667,0.75,0.8125,0,0,0,0,0
